id,ip,country,port,root_folders,date_added
1,84.106.211.113,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,Romy,TimeMachine,Torrents","2014-04-25 00:41:08"
2,84.26.235.104,NL,443,"Movies,Music","2014-04-25 00:41:08"
3,94.211.14.232,NL,443,"Backups,Documents Alexander,Documents Floor,Documents Marjolijn,Documents Maud,Documents shared,Movies,Music,Pictures,QuikTransfer,Series","2014-04-25 00:41:08"
4,95.97.86.104,NL,443,"Backups,Documents,Movies,Pictures","2014-04-25 00:41:08"
5,84.31.207.32,NL,443,"Backups,Documents,Movies,Pictures","2014-04-25 00:41:08"
6,77.250.230.184,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
7,84.105.22.114,NL,443,"Backups,Movies,Music,Pictures","2014-04-25 00:41:08"
8,84.105.167.181,NL,443,"Documents,Music,Pictures,TV","2014-04-25 00:41:08"
9,217.120.252.17,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:08"
10,84.26.220.69,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
11,62.194.37.108,NL,443,"Movies,Series","2014-04-25 00:41:08"
12,217.123.125.87,NL,443,"Backups,Documents,Itunes,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:08"
13,94.212.55.55,NL,443,hielke,"2014-04-25 00:41:08"
14,94.208.189.128,NL,443,Backups,"2014-04-25 00:41:08"
15,84.107.17.164,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:08"
16,80.101.69.31,NL,443,"Backups,Documents,Movies,Music,Pictures,test","2014-04-25 00:41:08"
17,83.161.247.135,NL,443,"Backups,Documents,Movies,Music,Pictures,share,TimeMachine","2014-04-25 00:41:08"
18,83.128.215.80,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
19,94.214.242.110,NL,443,Backups,"2014-04-25 00:41:08"
20,94.211.60.152,NL,443,"Backups,Documents,Downloads,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:08"
21,89.98.166.243,NL,443,"BACKUP,QuikTransfer","2014-04-25 00:41:08"
22,62.194.8.132,NL,443,"Audiobooks,Ebooks,Movies,Music,NASGAST,Pictures","2014-04-25 00:41:08"
23,83.83.17.223,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
24,217.120.251.55,NL,443,"Backups,Documents,Karel,Movies,Music,Pictures,QuikTransfer,Time Machine,Vandale","2014-04-25 00:41:08"
25,217.121.88.8,NL,443,Movies,"2014-04-25 00:41:08"
26,83.85.201.101,NL,443,"Public,QuikTransfer","2014-04-25 00:41:08"
27,77.251.167.20,NL,443,"Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
28,217.123.44.239,NL,443,Documents,"2014-04-25 00:41:08"
29,84.25.2.182,NL,443,"CAM,dummy","2014-04-25 00:41:08"
30,84.30.244.53,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:08"
31,81.30.65.169,NL,443,"Backups,Documents,HomeVideo,Movies,Music,Pictures","2014-04-25 00:41:08"
32,83.83.135.113,NL,443,"Backups,Documents,Movies,Music,Pictures,rhodes,TimeMachine","2014-04-25 00:41:08"
33,83.86.250.52,NL,443,"Backups,Books,Movies,Music,pi,Pictures,QuikTransfer,Series,stls_userdata","2014-04-25 00:41:08"
34,37.251.20.167,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:08"
35,62.45.130.97,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
36,62.163.225.180,NL,443,"Backups,Documents,Games,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:08"
37,84.25.225.106,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:08"
38,62.238.182.226,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:08"
39,217.122.104.139,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:08"
40,82.75.11.91,NL,443,"Documenten,Films,Foto`s,Muziek,Software","2014-04-25 00:41:08"
41,83.80.220.87,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:09"
42,83.160.53.20,NL,443,"Afbeeldingen,Backups,Documenten,Films en Video,Gebruiksaanwijzingen,Muziek","2014-04-25 00:41:09"
43,94.208.220.197,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:09"
44,83.85.89.43,NL,443,Fotografie,"2014-04-25 00:41:09"
45,83.83.217.192,NL,443,"Backups,Documents,E,Films,Fotos,Music,Programmas,Pura,TimeMachine,Websites","2014-04-25 00:41:09"
46,84.107.208.5,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:09"
47,94.208.241.199,NL,443,Backups,"2014-04-25 00:41:09"
48,94.215.229.117,NL,443,Documents,"2014-04-25 00:41:09"
49,84.29.182.36,NL,443,"Backups,Karin,Music,Pictures,QuikTransfer,Robert,stls_userdata,TimeMachine","2014-04-25 00:41:09"
